{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1065', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1065.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1066', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1066.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1067', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1067.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1068', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1068.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1069', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1069.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1070', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1070.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1071', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1071.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1072', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1072.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1073', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1073.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1074', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1074.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1060', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1060.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1061', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1061.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1062', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1062.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1063', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1063.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1064', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1064.ply'}
{'label': 'antique_car', 'label_coarse': 'car', 'name': 'm1556', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/antique_car/m1556.ply'}
{'label': 'antique_car', 'label_coarse': 'car', 'name': 'm1557', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/antique_car/m1557.ply'}
{'label': 'antique_car', 'label_coarse': 'car', 'name': 'm1558', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/antique_car/m1558.ply'}
{'label': 'antique_car', 'label_coarse': 'car', 'name': 'm1559', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/antique_car/m1559.ply'}
{'label': 'apatosaurus', 'label_coarse': 'quadruped', 'name': 'm273', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/apatosaurus/m273.ply'}
{'label': 'barn', 'label_coarse': 'building', 'name': 'm461', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barn/m461.ply'}
{'label': 'barn', 'label_coarse': 'building', 'name': 'm462', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barn/m462.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1057', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1057.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1058', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1058.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1059', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1059.ply'}
{'label': 'acoustic_guitar', 'label_coarse': 'musical_instrument', 'name': 'm638', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/acoustic_guitar/m638.ply'}
{'label': 'acoustic_guitar', 'label_coarse': 'musical_instrument', 'name': 'm639', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/acoustic_guitar/m639.ply'}
{'label': 'acoustic_guitar', 'label_coarse': 'musical_instrument', 'name': 'm640', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/acoustic_guitar/m640.ply'}
{'label': 'acoustic_guitar', 'label_coarse': 'musical_instrument', 'name': 'm641', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/acoustic_guitar/m641.ply'}
{'label': 'ant', 'label_coarse': 'arthropod', 'name': 'm0', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/ant/m0.ply'}
{'label': 'axe', 'label_coarse': 'handheld', 'name': 'm731', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/axe/m731.ply'}
{'label': 'axe', 'label_coarse': 'handheld', 'name': 'm732', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/axe/m732.ply'}
{'label': 'barn', 'label_coarse': 'building', 'name': 'm458', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barn/m458.ply'}
{'label': 'barn', 'label_coarse': 'building', 'name': 'm459', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barn/m459.ply'}
{'label': 'barn', 'label_coarse': 'building', 'name': 'm460', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barn/m460.ply'}
{'label': 'apatosaurus', 'label_coarse': 'quadruped', 'name': 'm274', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/apatosaurus/m274.ply'}
{'label': 'apatosaurus', 'label_coarse': 'quadruped', 'name': 'm275', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/apatosaurus/m275.ply'}
{'label': 'apatosaurus', 'label_coarse': 'quadruped', 'name': 'm276', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/apatosaurus/m276.ply'}
{'label': 'axe', 'label_coarse': 'handheld', 'name': 'm729', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/axe/m729.ply'}
{'label': 'axe', 'label_coarse': 'handheld', 'name': 'm730', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/axe/m730.ply'}
{'label': 'ant', 'label_coarse': 'arthropod', 'name': 'm1', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/ant/m1.ply'}
{'label': 'ant', 'label_coarse': 'arthropod', 'name': 'm2', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/ant/m2.ply'}
{'label': 'ant', 'label_coarse': 'arthropod', 'name': 'm3', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/ant/m3.ply'}
{'label': 'ant', 'label_coarse': 'arthropod', 'name': 'm4', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/ant/m4.ply'}
{'label': 'antique_car', 'label_coarse': 'car', 'name': 'm1555', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/antique_car/m1555.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1075', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1075.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1076', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1076.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1077', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1077.ply'}
{'label': 'barren', 'label_coarse': 'plant', 'name': 'm1078', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/barren/m1078.ply'}
{'label': 'bed', 'label_coarse': 'bed', 'name': 'm944', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bed/m944.ply'}
{'label': 'bed', 'label_coarse': 'bed', 'name': 'm945', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bed/m945.ply'}
{'label': 'bed', 'label_coarse': 'bed', 'name': 'm946', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bed/m946.ply'}
{'label': 'bed', 'label_coarse': 'bed', 'name': 'm947', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bed/m947.ply'}
{'label': 'bed', 'label_coarse': 'bed', 'name': 'm948', 'type': '.ply', 'path': 'C:/Users/ohund/workspace/project_multimedia_retrieval/processed_data_bkp/bed/m948.ply'}
