sr,hr,skr,class_label,val
8.58,174.11,8.11,desk_lamp,0.02197802197802198
9.53,16.74,1.47,ant,0.05
1.95,189.84,1.47,acoustic_guitar,0.0
8.11,189.84,5.74,acoustic_guitar,0.0
8.58,142.63,6.68,bench,0.018181818181818184
10.0,284.26,2.89,ant,0.05
8.58,142.63,8.11,acoustic_guitar,0.0
5.74,252.79,6.68,tv,0.022727272727272724
2.89,284.26,2.42,bottle,0.05303030303030303
1.0,79.68,6.21,desk_lamp,0.02197802197802198
10.0,237.05,8.11,acoustic_guitar,0.0
2.89,237.05,6.21,acoustic_guitar,0.0
1.95,237.05,6.21,bench,0.018181818181818184
6.68,48.21,1.47,helmet,0.05555555555555556
2.42,1.0,10.0,helmet,0.08888888888888888
8.58,268.53,5.74,desk_lamp,0.01098901098901099
8.58,32.47,2.42,ant,0.1
7.16,189.84,7.63,ant,0.05
3.84,79.68,5.74,helmet,0.04444444444444444
3.84,174.11,10.0,tv,0.03787878787878788
1.47,205.58,10.0,bottle,0.04545454545454545
1.47,32.47,9.53,bench,0.04545454545454546
8.58,158.37,9.05,acoustic_guitar,0.0
9.05,79.68,2.42,tv,0.030303030303030304
2.89,268.53,2.42,acoustic_guitar,0.0
3.84,189.84,5.74,acoustic_guitar,0.0
2.42,95.42,7.63,ant,0.1
8.11,126.89,5.74,ant,0.05
5.26,142.63,5.26,tv,0.022727272727272724
3.37,63.95,3.37,helmet,0.05555555555555556
9.05,158.37,1.0,ant,0.05
10.0,16.74,9.05,acoustic_guitar,0.0
7.63,142.63,8.58,helmet,0.05555555555555556
5.26,32.47,4.79,acoustic_guitar,0.0
2.89,300.0,1.95,bottle,0.05303030303030303
6.21,79.68,7.63,bottle,0.06060606060606061
4.79,79.68,4.32,bottle,0.04545454545454545
8.11,268.53,3.84,desk_lamp,0.01098901098901099
2.89,79.68,3.37,bench,0.018181818181818184
8.11,142.63,1.95,tv,0.022727272727272724
1.95,205.58,10.0,tv,0.030303030303030304
6.68,300.0,8.58,bottle,0.05303030303030303
1.47,111.16,8.11,bottle,0.05303030303030303
9.53,221.32,1.47,tv,0.022727272727272724
6.68,252.79,5.74,desk_lamp,0.01098901098901099
1.47,284.26,5.26,bottle,0.05303030303030303
4.79,79.68,3.84,tv,0.030303030303030304
8.11,189.84,10.0,desk_lamp,0.02197802197802198
3.37,268.53,8.58,tv,0.022727272727272724
10.0,221.32,9.53,tv,0.030303030303030304
9.05,32.47,9.53,bottle,0.10606060606060606
6.68,221.32,8.58,ant,0.05
5.74,126.89,2.89,acoustic_guitar,0.0
9.05,79.68,1.95,tv,0.030303030303030304
6.68,1.0,8.58,desk_lamp,0.1043956043956044
6.21,95.42,5.26,ant,0.05
1.0,142.63,4.79,bench,0.018181818181818184
9.05,174.11,6.21,bottle,0.05303030303030303
8.58,237.05,9.53,helmet,0.05555555555555556
8.11,95.42,8.11,helmet,0.04444444444444444
