,label,x,y,lbl_id
m1065,plant,-3.8571818,8.552311,31
m1066,plant,-10.881557,6.5375123,31
m1067,plant,-13.5082245,9.574111,31
m1068,plant,-5.415058,1.18232,31
m1069,plant,-2.2282574,-13.257216,31
m1070,plant,-6.866828,-0.08652498,31
m1071,plant,4.872455,-14.809882,31
m1072,plant,2.3651087,6.453518,31
m1073,plant,-1.1875918,-5.932129,31
m1074,plant,-13.637284,-0.85303175,31
m1060,plant,-5.630008,-0.6359749,31
m1061,plant,-11.600378,4.3781834,31
m1062,plant,-6.927555,0.7384469,31
m1063,plant,-19.350428,-6.5530415,31
m1064,plant,-11.959123,5.8538575,31
m1556,car,-11.4061365,-3.0670662,7
m1557,car,-10.174049,3.892119,7
m1558,car,-1.1908857,-6.7621927,7
m1559,car,-3.422855,-6.027608,7
m273,quadruped,-3.8043153,-6.981867,32
m461,building,-8.365266,0.583299,5
m462,building,-1.472848,-10.111409,5
m1057,plant,-3.982664,-14.391048,31
m1058,plant,-2.0381935,-15.932761,31
m1059,plant,0.25258943,-13.409438,31
m638,musical_instrument,-3.5786448,-17.39582,30
m639,musical_instrument,5.463434,-17.434372,30
m640,musical_instrument,-4.852643,-10.41675,30
m641,musical_instrument,-1.0279,-4.2205663,30
m0,arthropod,-4.7358193,-19.97024,0
m1,arthropod,2.0379734,-14.218111,0
m2,arthropod,-3.9353836,-16.017475,0
m3,arthropod,-5.753993,-14.055177,0
m4,arthropod,-0.54618615,-15.966288,0
m1555,car,0.25588766,-14.488139,7
m274,quadruped,-4.0341973,-18.110622,32
m275,quadruped,-4.2050858,-19.136927,32
m276,quadruped,-1.4170752,-11.292997,32
m729,handheld,-5.049914,-20.963976,20
m730,handheld,0.7088054,-4.000267,20
m731,handheld,-14.83703,2.78726,20
m732,handheld,-1.2264426,-8.454689,20
m458,building,-2.5897958,-15.433976,5
m459,building,-6.5874543,-17.889482,5
m460,building,8.418257,31.555536,5
m1075,plant,12.223978,31.775429,31
m1076,plant,8.60238,26.788214,31
m1077,plant,7.8239636,32.21584,31
m1078,plant,8.239674,19.165703,31
m944,bed,11.26845,32.886436,2
m945,bed,7.829369,33.06553,2
m946,bed,10.917013,27.401989,2
m947,bed,9.416239,32.966312,2
m948,bed,17.350197,18.989943,2
m949,bed,17.729826,19.468948,2
m950,bed,15.069163,12.302339,2
m951,bed,0.8653807,19.151009,2
m5,arthropod,10.862431,11.514976,0
m6,arthropod,12.986389,31.58248,0
m7,arthropod,13.8688,15.452212,0
m8,arthropod,14.943487,11.558991,0
m774,seat,14.070021,15.121079,35
m775,seat,13.546215,12.974701,35
m776,seat,9.677226,16.47453,35
m777,seat,9.324921,22.909645,35
m1475,cycle,10.613387,31.90784,11
m1476,cycle,10.463554,-8.196346,11
m1477,cycle,23.00389,-2.3565545,11
m1478,cycle,-27.774485,-9.259994,11
m1682,sign,14.605396,2.2558193,38
m778,seat,2.1873622,-2.6589675,35
m779,seat,18.841158,-2.2760758,35
m780,seat,-29.058342,-10.2587805,35
m781,seat,-28.032501,-9.901907,35
m782,seat,19.434566,-2.1771548,35
m1683,sign,14.575548,-1.5722721,38
m1684,sign,12.161615,14.4815445,38
m1685,sign,11.770978,5.836737,38
m1118,winged_vehicle,20.219698,-12.11201,52
m1119,winged_vehicle,21.958647,-10.679083,52
m1120,winged_vehicle,10.187513,6.683343,52
m1121,winged_vehicle,6.009758,7.8597603,52
m1122,winged_vehicle,19.354801,-9.508443,52
m1123,winged_vehicle,21.734444,-11.998957,52
m1124,winged_vehicle,-27.140285,-9.241901,52
m783,seat,22.430967,-3.0079641,35
m784,seat,20.524958,-11.832215,35
m1472,cycle,1.5913917,-18.35728,11
m1473,cycle,0.036079276,5.7860126,11
m1474,cycle,0.87036216,7.0117984,11
m1125,winged_vehicle,-10.227218,2.6542938,52
m1126,winged_vehicle,-1.511296,5.6975517,52
m1127,winged_vehicle,-9.299549,2.9170232,52
m1128,winged_vehicle,-13.644353,5.041269,52
m1129,winged_vehicle,-5.583869,4.1892824,52
m1130,winged_vehicle,2.79161,2.607946,52
m1131,winged_vehicle,-5.7700524,2.738995,52
m1132,winged_vehicle,-11.005022,1.212688,52
m1133,winged_vehicle,-9.663143,1.4508761,52
m1134,winged_vehicle,-7.7803326,3.2110226,52
m1135,winged_vehicle,-12.086022,-1.5053196,52
m1136,winged_vehicle,2.7800572,10.208509,52
m1137,winged_vehicle,-2.72673,6.795924,52
m1138,winged_vehicle,-18.963018,-5.4100304,52
m1139,winged_vehicle,-12.458668,2.887683,52
m1140,winged_vehicle,-10.788084,2.104158,52
m1141,winged_vehicle,-12.922273,0.090720885,52
m1142,winged_vehicle,-18.934145,-5.205383,52
m1143,winged_vehicle,17.11717,-0.36903766,52
m1144,winged_vehicle,-11.920587,0.041915376,52
m1145,winged_vehicle,-14.046398,5.959049,52
m1789,handheld,3.9383504,24.031082,20
m1790,handheld,-5.790734,9.709594,20
m1791,handheld,-0.66601014,-19.343386,20
m1792,handheld,-6.7490854,14.445684,20
m482,liquid_container,11.166612,9.161757,27
m483,liquid_container,-2.2465656,20.683058,27
m484,liquid_container,-15.193759,11.704665,27
m485,liquid_container,4.3746204,-14.314875,27
m486,liquid_container,-15.08835,-1.5221462,27
m487,liquid_container,-14.777551,11.090629,27
m488,liquid_container,-3.2074957,19.518372,27
m489,liquid_container,-2.1920903,-12.265955,27
m490,liquid_container,-4.447899,7.601196,27
m491,liquid_container,-6.5112257,10.608691,27
m492,liquid_container,-7.4310083,-13.2069435,27
m493,liquid_container,3.0622156,1.7096021,27
m283,head,16.692102,17.94898,22
m284,head,1.415325,-8.980853,22
m285,head,3.1370878,0.44008029,22
m286,head,-1.022597,21.136623,22
m287,head,19.542269,5.199699,22
m288,head,1.0598053,-20.91192,22
m289,head,-8.578648,7.240345,22
m1779,bridge,-7.9575105,-9.105669,4
m1780,bridge,-4.3273134,-4.8465004,4
m1781,bridge,10.013073,18.707338,4
m1782,bridge,21.895922,-2.3544114,4
m1783,bridge,0.78001034,-19.199417,4
m1784,bridge,-7.996597,4.9613557,4
m962,plant,7.5414443,17.50178,31
m963,plant,-10.648415,-8.198499,31
m964,plant,3.5672686,13.607398,31
m965,plant,0.6880802,-20.730103,31
m966,plant,4.275046,11.337359,31
m1785,bridge,9.667424,-14.331304,4
m1786,bridge,-8.065109,-9.124531,4
m1787,bridge,5.860136,16.18925,4
m1788,bridge,3.6782603,13.677834,4
m961,plant,5.6397243,-13.772273,31
m967,plant,14.348313,10.384281,31
m968,plant,21.649324,5.106218,31
m969,plant,10.550733,7.9099655,31
m725,blade,9.644063,18.454008,3
m726,blade,11.876682,-19.020676,3
m13,arthropod,12.024785,-13.29066,0
m14,arthropod,13.451584,-21.010735,0
m15,arthropod,6.492909,-22.807173,0
m9,arthropod,-18.866713,2.345327,0
m952,cabinet,-11.458589,-17.522219,6
m727,blade,7.1787515,-15.486093,3
m728,blade,-12.370489,-11.365956,3
m10,arthropod,-18.805866,1.6369861,0
m11,arthropod,-14.4205675,-8.4014845,0
m12,arthropod,12.948266,-21.988665,0
m953,cabinet,14.368645,-19.82369,6
m954,cabinet,-11.965136,-9.323546,6
m955,cabinet,-12.118553,-10.30426,6
m956,cabinet,12.863589,-22.825989,6
m957,cabinet,10.550747,-14.967495,6
m384,building,-12.897667,-9.883752,5
m385,building,22.477009,0.0030881572,5
m386,building,-13.460678,-11.23477,5
m387,building,-19.28622,0.4460329,5
m388,building,7.864155,-23.70585,5
m958,cabinet,13.35887,-19.560427,6
m959,cabinet,-14.41383,-26.835403,6
m960,cabinet,-14.619138,-29.156925,6
m382,building,-13.071647,-29.773947,5
m383,building,-6.52355,-26.01926,5
m1598,chess_piece,-11.780305,-30.678574,8
m1599,chess_piece,-13.863676,-27.686806,8
m1600,chess_piece,-8.257764,-24.166708,8
m1601,chess_piece,-9.694798,-24.664389,8
m1602,chess_piece,-7.4476776,-24.578096,8
m1603,chess_piece,-8.799916,-23.60637,8
m1604,chess_piece,-8.732746,-26.158012,8
m1605,chess_piece,-10.779326,-26.308868,8
m1606,chess_piece,-7.754539,-25.944622,8
m1607,chess_piece,-10.118229,-27.543308,8
m1608,chess_piece,-8.35963,-28.119967,8
m1609,chess_piece,-12.5940895,-29.400795,8
m1610,chess_piece,-6.8193927,-23.295809,8
m1611,chess_piece,-6.46568,-27.77786,8
m1612,chess_piece,-12.869147,-26.521746,8
m1613,chess_piece,-9.58298,-25.941053,8
m1614,chess_piece,-10.214254,-28.981205,8
m1589,handheld,-12.845359,-28.480417,20
m1590,handheld,-9.120827,13.029579,20
m1591,handheld,-5.5927477,-18.937458,20
m1592,handheld,-9.004666,14.752041,20
m1593,handheld,9.187698,20.406727,20
m1594,handheld,-3.614579,12.412006,20
m1595,handheld,-2.1632993,-2.719886,20
m1596,handheld,-15.202361,14.420577,20
m1649,city,-16.541988,13.499414,10
m1650,city,-3.8354678,9.297328,10
m1651,city,3.3863025,21.33695,10
m1652,city,-11.052464,11.977389,10
m1653,city,-2.806276,11.424467,10
m1597,handheld,-7.5748034,11.947115,20
m1698,chest,-11.311773,14.123891,9
m1699,chest,-9.999345,12.927114,9
m1700,chest,-5.3356104,12.368308,9
m1701,chest,-8.100042,12.341651,9
m391,building,-6.113945,11.835507,5
m392,building,4.949945,17.72279,5
m1646,city,-17.17795,13.83987,10
m1647,city,-0.7188866,12.3874035,10
m1648,city,-1.9755632,10.65132,10
m1702,chest,10.379661,-5.2093334,9
m1703,chest,-1.2391458,-30.1982,9
m1704,chest,6.786185,-6.0728974,9
m389,building,6.38086,7.869689,5
m390,building,6.1240187,10.118336,5
m1654,city,8.3426,6.639605,10
m1655,city,7.1745324,-5.946317,10
m1656,city,10.060217,-3.1011884,10
m1657,city,7.896051,-3.7128227,10
m1658,city,9.994453,-5.646529,10
m1659,city,6.378342,15.16916,10
m1660,city,7.776586,1.8835416,10
m1661,city,-7.992497,-3.5544555,10
m1662,city,-8.071044,-3.0520747,10
m1663,city,9.851947,-2.4202874,10
m1664,city,7.2354674,3.0273545,10
m1665,city,11.690076,-4.0013094,10
m1146,winged_vehicle,8.482579,-7.407784,52
m1147,winged_vehicle,-1.2437875,-30.209015,52
m1148,winged_vehicle,8.073818,1.3311267,52
m1149,winged_vehicle,-0.7193571,3.7045662,52
