,label,x,y,lbl_id
m1065,plant,13.154322,-18.11213,31
m1066,plant,25.10693,-22.776232,31
m1067,plant,4.085938,32.94795,31
m1068,plant,24.97995,-14.857026,31
m1069,plant,20.909071,-19.198816,31
m1070,plant,11.677116,-19.702017,31
m1071,plant,-30.38293,4.208653,31
m1072,plant,15.469006,-7.4127436,31
m1073,plant,13.998484,7.8552833,31
m1074,plant,2.260616,-35.36976,31
m1060,plant,1.8021163,-34.405785,31
m1061,plant,26.747652,-14.611808,31
m1062,plant,15.675976,-4.1252565,31
m1063,plant,17.990774,-6.2714577,31
m1064,plant,13.343731,-17.319092,31
m1556,car,-27.939083,-20.033005,7
m1557,car,22.929224,-3.7215137,7
m1558,car,-17.633415,19.490902,7
m1559,car,36.795338,0.8986566,7
m273,quadruped,27.33938,-14.038126,32
m461,building,25.452559,7.5021954,5
m462,building,23.97019,-20.947794,5
m1057,plant,22.432108,-12.291031,31
m1058,plant,0.40179497,15.388993,31
m1059,plant,17.765596,-0.39506063,31
m638,musical_instrument,15.606938,-17.386951,30
m639,musical_instrument,2.262187,-35.83009,30
m640,musical_instrument,17.176752,-2.730076,30
m641,musical_instrument,16.291393,-1.7178721,30
m0,arthropod,11.862544,-18.705128,0
m1,arthropod,14.812845,-2.631897,0
m2,arthropod,5.8763366,6.3216295,0
m3,arthropod,23.57333,-22.67446,0
m4,arthropod,22.106293,-13.637748,0
m1555,car,2.346252,-31.552023,7
m274,quadruped,-9.981815,-5.3511558,32
m275,quadruped,23.428604,-5.9580164,32
m276,quadruped,18.23381,-21.01954,32
m729,handheld,20.351898,-22.780119,20
m730,handheld,26.727518,-12.264419,20
m731,handheld,20.517363,-19.138979,20
m732,handheld,23.414886,-4.3263083,20
m458,building,24.847246,-12.889172,5
m459,building,26.322388,6.4004555,5
m460,building,35.339104,-6.5218625,5
m1075,plant,22.003761,-10.909776,31
m1076,plant,24.944944,-7.6700416,31
m1077,plant,13.3578415,-16.47263,31
m1078,plant,23.90003,-13.106841,31
m944,bed,3.8878806,32.45141,2
m945,bed,14.266319,-18.20258,2
m946,bed,24.010933,-20.194485,2
m947,bed,0.68319064,14.373886,2
m948,bed,13.728054,-19.443237,2
m949,bed,1.3536329,15.899809,2
m950,bed,23.249079,7.015063,2
m951,bed,21.366215,-22.627996,2
m5,arthropod,16.008953,-6.9151015,0
m6,arthropod,18.835468,-6.3211265,0
m7,arthropod,18.358908,-17.484013,0
m8,arthropod,25.596571,-16.193157,0
m774,seat,28.499018,3.4352555,35
m775,seat,37.857845,1.0735792,35
m776,seat,20.176617,3.056536,35
m777,seat,17.564447,-14.206995,35
m1475,cycle,24.265333,9.351495,11
m1476,cycle,10.7461195,-1.4423926,11
m1477,cycle,-5.5708003,7.181349,11
m1478,cycle,13.425277,8.582892,11
m1682,sign,13.496591,0.84527314,38
m778,seat,36.190243,-7.185104,35
m779,seat,25.976713,-17.621857,35
m780,seat,18.69353,-14.682461,35
m781,seat,23.152576,-15.210789,35
m782,seat,29.034971,2.6760097,35
m1683,sign,20.455725,-16.525438,38
m1684,sign,29.634884,-12.490378,38
m1685,sign,23.736164,-16.412846,38
m1118,winged_vehicle,18.18281,10.704756,52
m1119,winged_vehicle,9.840269,8.4383135,52
m1120,winged_vehicle,21.838573,-15.993413,52
m1121,winged_vehicle,9.493024,5.992818,52
m1122,winged_vehicle,17.62495,-20.012972,52
m1123,winged_vehicle,27.832045,4.320366,52
m1124,winged_vehicle,22.37086,3.3045552,52
m783,seat,17.918512,0.6394125,35
m784,seat,0.8837895,5.3503795,35
m1472,cycle,38.887905,5.155879,11
m1473,cycle,20.601059,-14.513642,11
m1474,cycle,21.308537,-17.360073,11
m1125,winged_vehicle,29.736465,-13.134296,52
m1126,winged_vehicle,26.48802,-13.503485,52
m1127,winged_vehicle,28.515308,4.3670797,52
m1128,winged_vehicle,8.453999,9.799012,52
