,label,x,y,lbl_id
m1065,plant,17.499304,101.22876,31
m1066,plant,-85.912895,-7.1813836,31
m1067,plant,16.91644,99.07251,31
m1068,plant,15.683439,97.145706,31
m1069,plant,-87.26123,-10.154377,31
m1070,plant,42.366768,-4.799483,31
m1071,plant,-67.84931,-13.252909,31
m1072,plant,-52.01227,44.57956,31
m1073,plant,-30.1242,41.224632,31
m1074,plant,-38.010902,-4.5210376,31
m1060,plant,19.028011,94.11651,31
m1061,plant,-76.023384,28.571053,31
m1062,plant,32.77117,92.82092,31
m1063,plant,-83.09114,1.8155146,31
m1064,plant,-94.381615,-8.144266,31
m1556,car,-96.9089,-1.6028779,7
m1557,car,26.29581,-17.275276,7
m1558,car,22.146994,-39.010612,7
m1559,car,7.5128336,21.931908,7
m273,quadruped,-20.805079,-26.40599,32
m461,building,75.26163,-17.771013,5
m462,building,57.08813,-22.861761,5
m1057,plant,57.794994,-21.101389,31
m1058,plant,103.07976,0.854255,31
m1059,plant,81.45748,-17.241137,31
m638,musical_instrument,38.57402,71.6935,30
m639,musical_instrument,83.08748,-14.547457,30
m640,musical_instrument,-81.95798,-14.327809,30
m641,musical_instrument,23.892374,91.60826,30
m0,arthropod,26.474049,87.62775,0
m1,arthropod,25.724237,88.966255,0
m2,arthropod,22.443611,87.63946,0
m3,arthropod,55.093426,-39.268387,0
m4,arthropod,36.372437,0.37026358,0
m1555,car,27.620167,-43.642914,7
m274,quadruped,37.896732,14.685892,32
m275,quadruped,-19.529755,6.53444,32
m276,quadruped,-16.88107,32.467834,32
m729,handheld,18.021055,104.687164,20
m730,handheld,-7.5945067,-0.22870326,20
m731,handheld,18.552734,-66.250374,20
m732,handheld,18.669212,-67.74037,20
m458,building,18.231071,-64.351974,5
m459,building,24.291977,-71.29005,5
m460,building,-29.419743,31.804073,5
m1075,plant,-27.71477,35.20584,31
m1076,plant,-87.99491,3.2831976,31
m1077,plant,-84.11297,0.3392449,31
m1078,plant,-90.16473,2.9873276,31
m944,bed,-51.484764,-5.5896463,2
m945,bed,-31.85979,46.9394,2
m946,bed,13.522001,96.696526,2
m947,bed,45.056416,27.240137,2
m948,bed,-70.98423,-15.067978,2
m949,bed,39.85585,41.84901,2
m950,bed,37.649498,60.524017,2
m951,bed,37.96674,-40.989887,2
m5,arthropod,32.270596,-46.595844,0
m6,arthropod,6.828871,-1.0448498,0
m7,arthropod,29.813646,33.28894,0
m8,arthropod,-11.407805,-112.968765,0
m774,seat,10.341024,0.223841,35
m775,seat,100.952805,7.3678145,35
m776,seat,1.319309,4.18571,35
m777,seat,-9.234422,-118.24447,35
m1475,cycle,19.92795,4.2743053,11
m1476,cycle,65.708496,6.236081,11
m1477,cycle,57.928123,2.5661807,11
m1478,cycle,-11.749893,-115.43704,11
m1682,sign,84.07803,-12.580258,38
m778,seat,39.246655,46.24742,35
m779,seat,52.64724,-46.03358,35
m780,seat,-47.996304,47.093536,35
m781,seat,-67.26826,-7.4188356,35
m782,seat,-47.512775,44.46067,35
m1683,sign,25.531721,80.582634,38
m1684,sign,-27.930883,-30.58891,38
m1685,sign,-61.219254,35.618847,38
m1118,winged_vehicle,-66.68652,-15.963536,52
m1119,winged_vehicle,-59.38428,28.256338,52
m1120,winged_vehicle,18.419754,-24.194803,52
m1121,winged_vehicle,18.12716,-28.325161,52
m1122,winged_vehicle,1.8650516,-26.413002,52
m1123,winged_vehicle,-0.062778376,-25.433977,52
m1124,winged_vehicle,19.232624,-36.9961,52
m783,seat,-83.715515,20.532068,35
m784,seat,11.895262,-37.7417,35
m1472,cycle,99.675735,-7.01598,11
m1473,cycle,37.107582,21.589296,11
m1474,cycle,57.049423,22.460693,11
m1125,winged_vehicle,39.727215,37.550083,52
m1126,winged_vehicle,-1.754397,-12.715476,52
m1127,winged_vehicle,100.014206,5.783096,52
m1128,winged_vehicle,49.520397,29.158113,52
m1129,winged_vehicle,-6.6776443,-119.18255,52
m1130,winged_vehicle,-8.777858,-116.60063,52
m1131,winged_vehicle,-9.816917,-123.213936,52
m1132,winged_vehicle,21.369741,-20.293236,52
m1133,winged_vehicle,37.722282,-38.31634,52
m1134,winged_vehicle,-1.9038157,-10.07278,52
m1135,winged_vehicle,-6.132838,-36.75884,52
m1136,winged_vehicle,-31.58846,-10.371485,52
m1137,winged_vehicle,53.107887,-40.52881,52
m1138,winged_vehicle,-73.67851,29.810013,52
m1139,winged_vehicle,25.463121,-71.68626,52
m1140,winged_vehicle,-20.648403,-32.73344,52
m1141,winged_vehicle,-21.246962,-30.713152,52
m1142,winged_vehicle,-5.864849,-41.06876,52
m1143,winged_vehicle,-21.662933,28.8907,52
m1144,winged_vehicle,-7.987593,-2.449135,52
m1145,winged_vehicle,39.164936,2.721058,52
m1789,handheld,40.672413,-1.1056681,20
m1790,handheld,-57.50656,27.593801,20
m1791,handheld,-3.989746,-11.665793,20
m1792,handheld,-20.85171,31.003563,20
m482,liquid_container,23.499537,79.890335,27
m483,liquid_container,-83.83529,-2.1569343,27
m484,liquid_container,-79.497154,26.229656,27
m485,liquid_container,37.56506,67.57396,27
m486,liquid_container,-21.877375,11.674705,27
m487,liquid_container,-28.512997,-2.0545065,27
m488,liquid_container,79.0974,-18.308584,27
m489,liquid_container,21.4544,-0.38223952,27
m490,liquid_container,37.80041,19.292257,27
m491,liquid_container,-32.84278,42.90042,27
m492,liquid_container,48.576588,-13.40759,27
m493,liquid_container,-75.15172,0.41385853,27
m283,head,28.02088,77.15145,22
m284,head,-42.710796,-52.18544,22
m285,head,-16.558916,19.468977,22
m286,head,-46.11847,-46.68269,22
m287,head,-42.553436,-50.02162,22
m288,head,-7.5291357,1.3682895,22
m289,head,-10.795319,-1.3106145,22
m1779,bridge,53.23234,-13.49633,4
m1780,bridge,-19.061249,10.733544,4
m1781,bridge,-83.07297,25.855934,4
m1782,bridge,23.663404,6.437659,4
m1783,bridge,-78.70704,27.769241,4
m1784,bridge,41.96965,5.2770147,4
m962,plant,-35.04,5.852323,31
m963,plant,-22.306757,-28.12756,31
m964,plant,-15.1571865,31.147453,31
m965,plant,27.513187,-17.813974,31
m966,plant,29.74252,-22.463442,31
m1785,bridge,20.62772,-36.652737,4
m1786,bridge,30.230246,-23.95294,4
m1787,bridge,24.29189,-43.886395,4
m1788,bridge,0.5195098,1.1944488,4
m961,plant,37.892696,63.780533,31
m967,plant,43.05044,34.945568,31
m968,plant,-61.881226,27.990019,31
m969,plant,-43.14083,-46.59481,31
m725,blade,-40.348103,-35.599552,3
m726,blade,-41.599243,-39.633484,3
m13,arthropod,-39.789906,50.488686,0
m14,arthropod,41.489887,-10.516598,0
m15,arthropod,56.794582,24.337849,0
m9,arthropod,37.68485,-35.489883,0
m952,cabinet,-17.01242,14.330389,6
m727,blade,-85.65158,0.9267291,3
m728,blade,-50.364124,36.32033,3
m10,arthropod,-18.151552,34.554012,0
m11,arthropod,-24.343401,36.122116,0
m12,arthropod,-43.518414,-53.38617,0
m953,cabinet,50.37766,24.239927,6
m954,cabinet,18.265232,-62.343273,6
m955,cabinet,-26.25422,-27.53825,6
m956,cabinet,76.337654,5.6657305,6
m957,cabinet,21.692213,-56.32135,6
m384,building,35.02998,-1.4065112,5
m385,building,25.886696,-48.138695,5
m386,building,107.15556,-13.956472,5
m387,building,11.869165,1.9745978,5
m388,building,35.001186,91.19592,5
m958,cabinet,106.44807,-11.896135,6
m959,cabinet,38.815044,48.8804,6
m960,cabinet,-40.82364,-13.945234,6
m382,building,-59.736687,9.235761,5
m383,building,-14.201182,-15.961637,5
m1598,chess_piece,9.3019,6.9572783,8
m1599,chess_piece,-1.6437194,6.998299,8
m1600,chess_piece,13.774616,5.4110065,8
m1601,chess_piece,13.843053,3.9920275,8
m1602,chess_piece,-5.941552,-48.31298,8
m1603,chess_piece,-7.2672267,-50.42005,8
m1604,chess_piece,-1.9317391,-48.552925,8
m1605,chess_piece,-10.95225,-6.421249,8
m1606,chess_piece,-38.233982,-39.405598,8
m1607,chess_piece,-39.326565,-37.29391,8
m1608,chess_piece,-52.15457,18.718517,8
m1609,chess_piece,-51.58215,-8.074601,8
m1610,chess_piece,86.2824,-19.77222,8
m1611,chess_piece,84.75821,-19.165897,8
m1612,chess_piece,-23.072618,-68.808365,8
m1613,chess_piece,21.93441,-2.7034187,8
m1614,chess_piece,-74.806206,-4.605042,8
m1589,handheld,-59.54734,11.17855,20
m1590,handheld,-27.433197,-25.753614,20
m1591,handheld,-23.704119,-66.73667,20
m1592,handheld,-72.56839,29.365404,20
m1593,handheld,-34.57849,46.22737,20
m1594,handheld,39.76265,70.58763,20
m1595,handheld,-85.17699,16.904402,20
m1596,handheld,42.03324,71.90573,20
m1649,city,31.700941,96.26687,10
m1650,city,-53.58023,45.16047,10
m1651,city,32.198555,94.111275,10
m1652,city,-70.33796,-0.37399915,10
m1653,city,-65.4853,-5.8873777,10
m1597,handheld,-45.000378,-43.74354,20
m1698,chest,-0.06711634,-14.096262,9
m1699,chest,-51.837173,-12.770179,9
m1700,chest,-52.435192,-11.415842,9
m1701,chest,-8.817244,-43.50132,9
m391,building,-50.855637,-10.461956,5
m392,building,36.259323,-49.34766,5
m1646,city,-2.80933,-39.726795,10
m1647,city,36.31708,-47.94428,10
m1648,city,36.457977,-51.98881,10
m1702,chest,20.751823,90.96522,9
m1703,chest,-87.914696,13.123192,9
m1704,chest,-69.18039,3.1168878,9
m389,building,-46.556686,43.564003,5
m390,building,33.980072,-34.560425,5
m1654,city,26.693699,-44.67848,10
m1655,city,-92.06654,-15.550574,10
m1656,city,-31.269934,-23.325506,10
m1657,city,39.60642,-33.500744,10
m1658,city,34.48869,23.807137,10
m1659,city,36.3692,23.189863,10
m1660,city,35.444565,31.243841,10
m1661,city,15.260411,86.025116,10
m1662,city,40.993874,3.0222096,10
m1663,city,16.710155,87.42209,10
m1664,city,59.14523,4.830648,10
m1665,city,41.614822,-7.9755816,10
m1146,winged_vehicle,2.4449015,-3.0400155,52
m1147,winged_vehicle,-5.362462,-2.9513538,52
m1148,winged_vehicle,57.720345,-15.249098,52
m1149,winged_vehicle,-25.431562,-63.912323,52
m1150,winged_vehicle,-24.581934,-65.33631,52
m1151,winged_vehicle,73.78731,7.76848,52
m1152,winged_vehicle,74.98329,7.3756337,52
m1153,winged_vehicle,-28.386265,-52.721375,52
m1154,winged_vehicle,-29.473688,-52.304882,52
m1155,winged_vehicle,-31.806585,-4.6151385,52
m1156,winged_vehicle,-18.45209,12.147756,52
m1157,winged_vehicle,-35.617332,-36.51604,52
m1158,winged_vehicle,36.12826,-35.574234,52
m560,display_device,46.036583,31.00255,12
m1079,plant,17.845364,-38.586525,31
m1080,plant,-31.953005,-8.228109,31
m1081,plant,-5.624172,-39.28085,31
m1082,plant,-27.050037,-7.0917797,31
m1159,winged_vehicle,-7.500757,-43.31098,52
m1160,winged_vehicle,-11.403141,-124.52202,52
m1161,winged_vehicle,-12.512271,-125.25123,52
m1162,winged_vehicle,75.544136,10.174105,52
m1163,winged_vehicle,12.593218,44.692375,52
m1083,plant,60.109547,19.153154,31
m1084,plant,62.427216,19.406828,31
m1085,plant,60.643692,17.7668,31
m1086,plant,63.876183,20.040577,31
m1087,plant,21.88924,4.863899,31
m1164,winged_vehicle,21.48792,7.9955015,52
m1165,winged_vehicle,-39.928654,-4.68309,52
m1166,winged_vehicle,21.239548,2.1759505,52
m548,display_device,-14.001405,5.992715,12
m549,display_device,-7.146472,-19.734394,12
m555,display_device,5.194887,22.129402,12
m556,display_device,-6.9932313,-21.02439,12
m557,display_device,-55.138714,16.524605,12
m558,display_device,-21.905533,37.09604,12
m559,display_device,-31.18783,-2.5660343,12
m550,display_device,-31.718407,-0.7545942,12
m551,display_device,-15.030519,-120.12218,12
m552,display_device,-13.526314,-118.27682,12
m553,display_device,-11.596117,-117.42874,12
m554,display_device,48.802723,-41.1519,12
m1088,plant,104.257996,-8.785465,31
m829,seat,105.711266,-9.48716,35
m830,seat,19.7238,-22.021872,35
m831,seat,101.72842,-7.3012614,35
m832,seat,28.08939,87.35327,35
m833,seat,20.6233,93.135895,35
m834,seat,17.940876,102.612,35
m835,seat,22.425617,96.78627,35
m836,seat,11.045451,8.272445,35
m837,seat,-87.92856,-15.216832,35
m843,seat,10.266487,10.650335,35
m1565,car,-89.99986,-13.766562,7
m1566,car,-55.60033,-11.013247,7
m1567,car,-36.62264,-3.5860696,7
m1568,car,8.841808,22.037827,7
m838,seat,-55.29112,28.83017,35
m839,seat,-14.463538,15.510291,35
m840,seat,18.176313,-33.781513,35
m841,seat,13.435605,-37.508873,35
m842,seat,17.909264,-30.613136,35
m1569,car,-12.826532,-16.374647,7
m1768,display_device,25.898983,-14.946381,12
m1769,display_device,26.461084,73.13442,12
m1770,display_device,-9.026455,-16.829824,12
m1771,display_device,-29.129826,-24.380154,12
m1772,display_device,-44.46687,-34.311253,12
m1773,display_device,15.431243,-60.946945,12
m1774,display_device,20.311646,-58.978867,12
m1775,display_device,-54.30721,17.850174,12
m1776,display_device,-49.13049,39.666718,12
m1777,display_device,-64.80487,4.930175,12
m1778,display_device,-54.237453,14.575433,12
m792,seat,-65.415375,-18.779436,35
m793,seat,-50.68256,10.597085,35
m794,seat,-44.683266,-45.05695,35
m800,seat,-16.368422,-17.959595,35
m801,seat,23.598202,-18.861048,35
m802,seat,51.879734,-43.9125,35
m803,seat,-33.355297,-22.851715,35
m804,seat,-42.881462,46.896023,35
m795,seat,31.624706,4.3219433,35
m796,seat,37.94491,17.801512,35
m797,seat,98.05181,7.190773,35
m798,seat,28.92395,4.6319666,35
m799,seat,45.0126,-17.236328,35
m805,seat,-16.638021,17.228569,35
m806,seat,-29.929373,8.837043,35
